HoldOutSet,TorH,Team,TeamVS,tAbrev,vsAbrev,tType,tTeamVS,gType,rec,hInd,smGrp,hNgrp,aNnon,recW,recL,recT,recWpct,recWpctXwk,ELO,ELOchgPct,ELO13pct,vsrecW,vsrecL,vsrecT,vsrecWpct,vsrecWpctXwk,vsELO,vsELOchgPct,vsELO13pct,week,lookup,Home,Road,line,linesag,linepfz,lineARGH,lineavg,linepig,linenutshell,lineexcel,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,lineesp2,linesagr,linesagpred,linepi,linemidweek,lineopen,linecurry,linemass,linekasulis,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemedian,linekerns,linejens,lineash,lineffw,lineburd,linedok,linepib,linejens2,lineclean,linewhatif,lineespn,linerwp,linedwig,linegt,lineexcel2,linelinx,linestjohn,lineppg,linel2to,lineherbert,linepr,lineiron,linekalin,linestd,rscore,hscore,actLine,tPts,vsPts,aLnDiff,aLnFlip,tCnt,hCnt,aCnt
0,T,Seattle,Denver,SEA,DEN,NW,AW,A,0-0,0,0,0,1,0,0,0,0,0,1545,0,1.1885,0,0,0,0,0,1450,0,1.1154,1,1Denver,Denver,Seattle,3,0.01,4.73,1,-1.42,4,-9,-13,4.97,-2.72,-3.42,-0.97,0.01,-7.02,-11.21,-4.6,-4,2,2.4,0.01,0.01,0.1,3,1.5,-4.16,-4.39,1.8,-1.37,-0.55,-0.1,-2.94,-5.93,2.5,-0.55,-4.8,-5,0.01,-2,-4.4,6.07,-0.8,0.36,4,-1,1.61,-7.29,9.4,2,-15,-0.41,0.66,-2.81,-1.74,3.74,1.9,0.01,0.04,4.671439615,24,27,3,24,27,0,0,0,0,0
0,T,N.Y. Jets,Detroit,NYJ,DET,AE,NN,A,0-0,0,0,0,1,0,0,0,0,0,1432,0,1.1015,0,0,0,0,0,1524,0,1.1723,1,1Detroit,Detroit,N.Y. Jets,7,7.35,7.99,5,7.17,6,9,12,-1.97,8.12,11.07,6.76,7.35,9.62,5.48,13.33,10,7,6.1,7.35,7.35,7.2,6.5,6.5,8.66,9.18,5.6,7.06,7.94,7.1,7.08,9.77,6.1,7.2,10.2,10.75,6,7,14,8.51,6.8,0.58,5.5,1,8.3,12.89,-0.45,6.5,11,6.83,6.33,9,6.61,3.16,7.2,5.11,6,3.356836851,48,17,-31,48,17,-38,1,0,0,0
0,T,Chicago,Green Bay,CHI,GB,NN,NN,A,0-0,0,1,0,0,0,0,0,0,0,1444,0,1.1108,0,0,0,0,0,1472,0,1.1323,1,1Green Bay,Green Bay,Chicago,7,9.05,4.88,3,4.58,10,9,3,11.01,3.15,-2.07,3.06,9.05,2.04,5,5.02,0.01,6.5,7.4,9.05,9.05,4.7,7.5,8.5,0.04,3.12,7.3,4.65,7.24,7,4.07,1.33,8.1,4.4,1,1.67,3,8,-6.7,12.75,4,3.18,4.5,1,9.64,4.05,2.55,8.5,-1,5.46,5.7,5.5,1.21,3.26,7.4,2.51,4.4,3.858417943,23,24,1,23,24,-6,0,0,0,0
0,T,Cincinnati,Indianapolis,CIN,IND,AN,AS,A,0-0,0,0,0,1,0,0,0,0,0,1475,0,1.1346,0,0,0,0,0,1407,0,1.0823,1,1Indianapolis,Indianapolis,Cincinnati,2,2.79,-3.39,0.25,-0.79,5,-9,-9,4.63,-0.3,-3.16,0.35,2.79,-2.41,-4.17,-9.14,-2,2,2.5,2.79,2.79,-0.8,2.5,1,-7.18,-0.67,2,-0.86,1.15,-2.8,-1.78,-2.41,0.7,-0.74,-5.4,-1.3,-1,-2,-2.8,-0.74,-0.9,1.99,3,-3.1,4.39,-3.8,1.85,3,-10,-0.84,0.86,0.31,-6.34,0.82,-0.9,1.09,2.06,3.554862762,34,23,-11,34,23,-13,1,0,0,0
0,T,Kansas City,LA Chargers,KC,LAC,AW,AW,A,0-0,0,1,0,0,0,0,0,0,0,1571,0,1.2085,0,0,0,0,0,1545,0,1.1885,1,1LA Chargers,LA Chargers,Kansas City,3.5,2.91,3.46,1,3.26,5,6,11,-4.9,4.12,5.58,3.77,2.91,3.47,11.36,5.14,4,3.5,3,2.91,2.91,2.3,3.5,3,10.05,3.83,3.1,2.99,3.85,3.3,1.65,3.6,5.9,3.46,3.9,7.05,1,-2,5.9,0.4,2.4,-0.8,0.01,-7.6,4.31,1.76,5.15,4.5,6,3.04,3.39,-1.46,4.11,2.68,4.6,3.11,3.09,3.416661184,38,28,-10,38,28,-13.5,1,0,0,0
0,T,Tennessee,Miami,TEN,MIA,AS,AE,A,0-0,0,0,0,1,0,0,0,0,0,1496,0,1.1508,0,0,0,0,0,1450,0,1.1154,1,1Miami,Miami,Tennessee,0,0.01,1.89,2,0.16,-2,-7,1,8.63,-0.26,-4.22,0.57,0.01,-0.38,-1.37,4.07,0.01,0,-0.9,0.01,0.01,2,-1.5,-2.5,-7.13,1.15,-0.3,-0.06,0.05,0.8,1.93,-0.45,0.4,0.01,2.2,1.01,1,2,-5.2,-1.24,2.3,0.49,1,-8.1,-0.37,-2.79,11.35,1,2,1.32,-0.68,-0.99,-0.17,-1.06,-3.3,1.02,-1.19,3.340925597,20,27,7,20,27,7,1,0,0,0
0,T,San Francisco,Minnesota,SF,MIN,NW,NN,A,0-0,0,0,0,1,0,0,0,0,0,1469,0,1.13,0,0,0,0,0,1602,0,1.2323,1,1Minnesota,Minnesota,San Francisco,6,8.7,14.81,9,8.58,6,20,11,6.28,9.56,5.61,7.47,8.7,15.48,7,7,7,6,5.7,8.7,8.7,9.2,6.5,4.5,9.75,9.58,5.3,8.78,7.84,8.7,12.97,12.12,9.1,8.7,16.1,11.14,7,11,-4.8,3.15,9.1,3.76,7.5,5.6,7.3,15.46,6.65,5.5,15,7.31,6.7,4.53,12.28,-0.18,8.9,5.94,6.5,3.888012537,16,24,8,16,24,2,0,0,0,0
0,T,Jacksonville,N.Y. Giants,JAX,NYG,AS,NE,A,0-0,0,0,0,1,0,0,0,0,0,1535,0,1.1808,0,0,0,0,0,1412,0,1.0862,1,1N.Y. Giants,N.Y. Giants,Jacksonville,-2.5,-0.68,-10.56,-1,-5.29,-1,-20,-4,1.39,-8.98,-7.78,-5.68,-0.68,-14.32,-13.5,-16.59,-9,-2.5,-2.3,-0.68,-0.68,-3.9,-3,-3.5,-11.22,-4.76,-1.6,-4.9,-0.65,-3.7,-6.36,-10.67,-0.4,-4,-12.3,-7.99,-3,-4,-10.5,0.01,-4.1,1.81,-3,-7.7,0.38,-10.67,-4.45,-1,-3,-1.55,-4.82,-8.52,-10.71,-4.89,-4,-2.27,-2.17,4.892617416,20,15,-5,20,15,-2.5,0,0,0,0
0,T,Houston,New England,HOU,NE,AS,AE,A,0-0,0,0,0,1,0,0,0,0,0,1398,0,1.0754,0,0,0,0,0,1651,0,1.27,1,1New England,New England,Houston,6.5,11.37,13.72,9,12.86,9,40,20,2.45,12.57,13.24,10.89,11.37,15.08,7,11.79,22,7.5,7.2,11.37,11.37,8.8,6,6.5,30.21,15.39,8.4,13.04,12.84,9.7,14.58,19.68,9.5,11.37,18,17.69,10,16,26.2,11.05,9.1,5.15,1.5,4.1,9.08,17.72,5.65,7.5,23,14.38,7.23,9.82,11.12,6.28,9.3,9.94,9.18,7.12546567,20,27,7,20,27,0.5,0,0,0,0
0,T,Tampa Bay,New Orleans,TB,NO,NS,NS,A,0-0,0,1,0,0,0,0,0,0,0,1469,0,1.13,0,0,0,0,0,1584,0,1.2185,1,1New Orleans,New Orleans,Tampa Bay,10,8.99,9.08,6,10.46,12,22,15,4.37,9.28,10.35,7.82,8.99,11.71,13.6,10.52,9,10,8.9,8.99,8.99,15.8,9.5,7,9.11,8.46,8.3,9.14,10.05,16.3,8.36,12.18,10,9.14,15.1,11.48,6,7,6.2,8.81,15.5,2.77,7.5,12.6,13.25,14.57,23.55,8.5,13,6.52,9.28,9.12,10.72,8.91,14.7,5.85,10.87,3.993154996,48,40,-8,48,40,-18,1,0,0,0
